keys,es,en,it,fr,de,pt
level.137.name,El abismo llama,The Abyss Calls,L'abisso chiama,L'abîme appelle,Der Abgrund ruft,O abismo chama
level.138.name,Sombras largas,Long Shadows,Ombre lunghe,Ombres longues,Lange Schatten,Sombras longas
level.139.name,Descenso continuo,Endless Descent,Discesa continua,Descente continue,Endloser Abstieg,Descida contínua
level.140.name,La criatura ciega,The Blind Creature,La creatura cieca,La créature aveugle,Die blinde Kreatur,A criatura cega
level.141.name,Fosa marina,Ocean Trench,Fossa marina,Fosse marine,Meeresgraben,Fossa marinha
level.142.name,Sedimento suspendido,Suspended Sediment,Sedimento sospeso,Sédiment en suspension,Schwebender Schlamm,Sedimento suspenso
level.143.name,El corredor negro,The Black Corridor,Il corridoio nero,Le couloir noir,Der schwarze Gang,O corredor negro
level.144.name,Corales muertos,Dead Corals,Coralli morti,Coraux morts,Tote Korallen,Corais mortos
level.145.name,Respiración profunda,Deep Breath,Respiro profondo,Souffle profond,Tiefer Atem,Respiração profunda
level.146.name,Susurros de agua,Whispers of Water,Sussurri d'acqua,Murmures de l'eau,Flüstern des Wassers,Sussurros de água
level.147.name,Cámara sumergida,Flooded Chamber,Camera sommersa,Salle immergée,Geflutete Kammer,Câmara submersa
level.148.name,Sin retorno,No Way Back,Senza ritorno,Sans retour,Kein Zurück,Sem retorno
level.149.name,El límite,The Limit,Il limite,La limite,Die Grenze,O limite
level.150.name,El coloso dormido,The Sleeping Colossus,Il colosso dormiente,Le colosse endormi,Der schlafende Koloss,O colosso adormecido
level.151.name,Aguas negras,Black Waters,Acque nere,Eaux noires,Schwarze Wasser,Águas negras
level.152.name,Cristales fríos,Cold Crystals,Cristalli freddi,Cristaux froids,Kalte Kristalle,Cristais frios
level.153.name,La sima,The Chasm,La voragine,Le gouffre,Der Schlund,O sumidouro
level.154.name,Peso del océano,Weight of the Ocean,Il peso dell'oceano,Le poids de l'océan,Last des Ozeans,O peso do oceano
level.155.name,Ruinas hundidas,Sunken Ruins,Rovine sommerse,Ruines englouties,Versunkene Ruinen,Ruínas afundadas
level.156.name,Corriente traicionera,Treacherous Current,Corrente infida,Courant traître,Tückische Strömung,Corrente traiçoeira
level.157.name,El pasaje estrecho,The Narrow Passage,Il passaggio angusto,Le passage étroit,Der schmale Durchlass,A passagem estreita
level.158.name,Cerca del fondo,Near the Bottom,Vicino al fondo,Près du fond,Nahe dem Grund,Perto do fundo
level.159.name,Último tramo,Final Stretch,Ultimo tratto,Dernière ligne,Letztes Stück,Último trecho
level.160.name,El trono del abismo,Throne of the Abyss,Il trono dell'abisso,Le trône de l'abîme,Thron des Abgrunds,Trono do abismo
level.161.name,Huellas de la Sombra,Traces of the Shadow,Tracce dell'Ombra,Traces de l'Ombre,Spuren des Schattens,Rastros da Sombra
level.162.name,Rastro helado,Frozen Trail,Scia gelata,Piste glacée,Eisige Fährte,Trilha gelada
level.163.name,Cámara vacía,Empty Chamber,Camera vuota,Salle vide,Leere Kammer,Câmara vazia
level.164.name,Silencio absoluto,Absolute Silence,Silenzio assoluto,Silence absolu,Vollkommene Stille,Silêncio absoluto
level.165.name,Fractura profunda,Deep Fracture,Frattura profonda,Fracture profonde,Tiefer Bruch,Fratura profunda
level.166.name,La antesala,The Antechamber,L'anticamera,L'antichambre,Das Vorzimmer,A antecâmara
level.167.name,Ecos de la Sombra,Echoes of the Shadow,Echi dell'Ombra,Échos de l'Ombre,Echos des Schattens,Ecos da Sombra
level.168.name,Umbral final,Final Threshold,Soglia finale,Seuil final,Letzte Schwelle,Limiar final
level.169.name,Frente a frente,Face to Face,Faccia a faccia,Face à face,Von Angesicht zu Angesicht,Frente a frente
level.170.name,La Sombra despierta,The Shadow Awakens,L'Ombra si risveglia,L'Ombre s'éveille,Der Schatten erwacht,A Sombra desperta
level.171.name,Primera herida,First Wound,La prima ferita,La première blessure,Die erste Wunde,A primeira ferida
level.172.name,Dolor antiguo,Ancient Pain,Dolore antico,Douleur ancienne,Alter Schmerz,Dor antiga
level.173.name,Recuerdos del abismo,Memories of the Abyss,Ricordi dell'abisso,Souvenirs de l'abîme,Erinnerungen des Abgrunds,Memórias do abismo
level.174.name,La verdad del fondo,The Truth Below,La verità del fondo,La vérité des fonds,Die Wahrheit der Tiefe,A verdade do fundo
level.175.name,Compasión,Compassion,Compassione,Compassion,Mitgefühl,Compaixão
level.176.name,Luz en la oscuridad,Light in the Dark,Luce nel buio,Lumière dans le noir,Licht im Dunkel,Luz na escuridão
level.177.name,El perdón,Forgiveness,Il perdono,Le pardon,Vergebung,O perdão
level.178.name,Últimas burbujas,Last Bubbles,Ultime bolle,Dernières bulles,Letzte Blasen,Últimas bolhas
level.179.name,El adiós,Farewell,L'addio,L'adieu,Abschied,A despedida
level.180.name,La Sombra Profunda,The Deep Shadow,L'Ombra Profonda,L'Ombre Profonde,Der Tiefe Schatten,A Sombra Profunda
chapter.1.name,Coralia,Coralia,Coralia,Coralia,Coralia,Coralia
chapter.2.name,Jardín de Anémonas,Anemone Garden,Giardino di Anemoni,Jardin d'Anémones,Anemonengarten,Jardim de Anêmonas
chapter.3.name,Profundidades,The Depths,Le Profondità,Les Profondeurs,Die Tiefen,As Profundezas
